x_px,x_py,y_px,y_py,unprimed_start_idx,prime_x_start_idx,prime_y_start_idx
<|endoftext|>A singer protected a physician. The band keeps the doctor.,<|endoftext|>A physician was protected by a singer. The band keeps the doctor.,<|endoftext|>A singer protected a physician. The doctor is kept by the band.,<|endoftext|>A physician was protected by a singer. The doctor is kept by the band.,1,7,9
<|endoftext|>A colonel protects a doctor. The army kept the physician.,<|endoftext|>A doctor is protected by a colonel. The army kept the physician.,<|endoftext|>A colonel protects a doctor. The physician was kept by the army.,<|endoftext|>A doctor is protected by a colonel. The physician was kept by the army.,1,7,9
<|endoftext|>A colonel protected a physician. The army keeps the doctor.,<|endoftext|>A physician was protected by a colonel. The army keeps the doctor.,<|endoftext|>A colonel protected a physician. The doctor is kept by the army.,<|endoftext|>A physician was protected by a colonel. The doctor is kept by the army.,1,7,9
<|endoftext|>The singer protects the singer. A band kept a band.,<|endoftext|>The singer is protected by the singer. A band kept a band.,<|endoftext|>The singer protects the singer. A band was kept by a band.,<|endoftext|>The singer is protected by the singer. A band was kept by a band.,1,7,9
<|endoftext|>The singer protected the colonel. A band keeps an army.,<|endoftext|>The colonel was protected by the singer. A band keeps an army.,<|endoftext|>The singer protected the colonel. An army is kept by a band.,<|endoftext|>The colonel was protected by the singer. An army is kept by a band.,1,7,9
<|endoftext|>A colonel protects a singer. The army kept the band.,<|endoftext|>A singer is protected by a colonel. The army kept the band.,<|endoftext|>A colonel protects a singer. The band was kept by the army.,<|endoftext|>A singer is protected by a colonel. The band was kept by the army.,1,7,9
<|endoftext|>The colonel protected the colonel. An army keeps an army.,<|endoftext|>The colonel was protected by the colonel. An army keeps an army.,<|endoftext|>The colonel protected the colonel. An army is kept by an army.,<|endoftext|>The colonel was protected by the colonel. An army is kept by an army.,1,7,9
<|endoftext|>The company protects the doctor. A corporation kept a physician.,<|endoftext|>The doctor is protected by the company. A corporation kept a physician.,<|endoftext|>The company protects the doctor. A physician was kept by a corporation.,<|endoftext|>The doctor is protected by the company. A physician was kept by a corporation.,1,7,9
<|endoftext|>The company protected the physician. A corporation keeps a doctor.,<|endoftext|>The physician was protected by the company. A corporation keeps a doctor.,<|endoftext|>The company protected the physician. A doctor is kept by a corporation.,<|endoftext|>The physician was protected by the company. A doctor is kept by a corporation.,1,7,9
<|endoftext|>A corporation protected a doctor. The company keeps the physician.,<|endoftext|>A doctor was protected by a corporation. The company keeps the physician.,<|endoftext|>A corporation protected a doctor. The physician is kept by the company.,<|endoftext|>A doctor was protected by a corporation. The physician is kept by the company.,1,7,9
<|endoftext|>The corporation protected the physician. A company keeps a doctor.,<|endoftext|>The physician was protected by the corporation. A company keeps a doctor.,<|endoftext|>The corporation protected the physician. A doctor is kept by a company.,<|endoftext|>The physician was protected by the corporation. A doctor is kept by a company.,1,7,9
<|endoftext|>The company protected the singer. A corporation keeps a band.,<|endoftext|>The singer was protected by the company. A corporation keeps a band.,<|endoftext|>The company protected the singer. A band is kept by a corporation.,<|endoftext|>The singer was protected by the company. A band is kept by a corporation.,1,7,9
<|endoftext|>The company protects the colonel. A corporation kept an army.,<|endoftext|>The colonel is protected by the company. A corporation kept an army.,<|endoftext|>The company protects the colonel. An army was kept by a corporation.,<|endoftext|>The colonel is protected by the company. An army was kept by a corporation.,1,7,9
<|endoftext|>The corporation protected the singer. A company keeps a band.,<|endoftext|>The singer was protected by the corporation. A company keeps a band.,<|endoftext|>The corporation protected the singer. A band is kept by a company.,<|endoftext|>The singer was protected by the corporation. A band is kept by a company.,1,7,9
<|endoftext|>A corporation protected a colonel. The company keeps the army.,<|endoftext|>A colonel was protected by a corporation. The company keeps the army.,<|endoftext|>A corporation protected a colonel. The army is kept by the company.,<|endoftext|>A colonel was protected by a corporation. The army is kept by the company.,1,7,9
<|endoftext|>A doctor asked a doctor. The physician wants the physician.,<|endoftext|>A doctor was asked by a doctor. The physician wants the physician.,<|endoftext|>A doctor asked a doctor. The physician is wanted by the physician.,<|endoftext|>A doctor was asked by a doctor. The physician is wanted by the physician.,1,7,9
<|endoftext|>The physician asked the physician. A doctor wants a doctor.,<|endoftext|>The physician was asked by the physician. A doctor wants a doctor.,<|endoftext|>The physician asked the physician. A doctor is wanted by a doctor.,<|endoftext|>The physician was asked by the physician. A doctor is wanted by a doctor.,1,7,9
<|endoftext|>The singer asked the doctor. A band wants a physician.,<|endoftext|>The doctor was asked by the singer. A band wants a physician.,<|endoftext|>The singer asked the doctor. A physician is wanted by a band.,<|endoftext|>The doctor was asked by the singer. A physician is wanted by a band.,1,7,9
<|endoftext|>The singer asks the physician. A band wanted a doctor.,<|endoftext|>The physician is asked by the singer. A band wanted a doctor.,<|endoftext|>The singer asks the physician. A doctor was wanted by a band.,<|endoftext|>The physician is asked by the singer. A doctor was wanted by a band.,1,7,9
<|endoftext|>The colonel asks the doctor. An army wanted a physician.,<|endoftext|>The doctor is asked by the colonel. An army wanted a physician.,<|endoftext|>The colonel asks the doctor. A physician was wanted by an army.,<|endoftext|>The doctor is asked by the colonel. A physician was wanted by an army.,1,7,9
<|endoftext|>The colonel asks the physician. An army wanted a doctor.,<|endoftext|>The physician is asked by the colonel. An army wanted a doctor.,<|endoftext|>The colonel asks the physician. A doctor was wanted by an army.,<|endoftext|>The physician is asked by the colonel. A doctor was wanted by an army.,1,7,9
<|endoftext|>The doctor chased the doctor. A physician catches a physician.,<|endoftext|>The doctor was chased by the doctor. A physician catches a physician.,<|endoftext|>The doctor chased the doctor. A physician is caught by a physician.,<|endoftext|>The doctor was chased by the doctor. A physician is caught by a physician.,1,7,9
<|endoftext|>A physician chases a physician. The doctor caught the doctor.,<|endoftext|>A physician is chased by a physician. The doctor caught the doctor.,<|endoftext|>A physician chases a physician. The doctor was caught by the doctor.,<|endoftext|>A physician is chased by a physician. The doctor was caught by the doctor.,1,8,9
<|endoftext|>The doctor grabs the doctor. A physician caught a physician.,<|endoftext|>The doctor is grabbed by the doctor. A physician caught a physician.,<|endoftext|>The doctor grabs the doctor. A physician was caught by a physician.,<|endoftext|>The doctor is grabbed by the doctor. A physician was caught by a physician.,1,7,9
<|endoftext|>The physician grabs the physician. A doctor caught a doctor.,<|endoftext|>The physician is grabbed by the physician. A doctor caught a doctor.,<|endoftext|>The physician grabs the physician. A doctor was caught by a doctor.,<|endoftext|>The physician is grabbed by the physician. A doctor was caught by a doctor.,1,7,9
<|endoftext|>The doctor kills the doctor. A physician destroyed a physician.,<|endoftext|>The doctor is killed by the doctor. A physician destroyed a physician.,<|endoftext|>The doctor kills the doctor. A physician was destroyed by a physician.,<|endoftext|>The doctor is killed by the doctor. A physician was destroyed by a physician.,1,7,9
<|endoftext|>A physician kills a physician. The doctor destroyed the doctor.,<|endoftext|>A physician is killed by a physician. The doctor destroyed the doctor.,<|endoftext|>A physician kills a physician. The doctor was destroyed by the doctor.,<|endoftext|>A physician is killed by a physician. The doctor was destroyed by the doctor.,1,7,9
<|endoftext|>The doctor forgives the doctor. A physician forgot a physician.,<|endoftext|>The doctor is forgiven by the doctor. A physician forgot a physician.,<|endoftext|>The doctor forgives the doctor. A physician was forgotten by a physician.,<|endoftext|>The doctor is forgiven by the doctor. A physician was forgotten by a physician.,1,8,9
<|endoftext|>A physician forgives a physician. The doctor forgot the doctor.,<|endoftext|>A physician is forgiven by a physician. The doctor forgot the doctor.,<|endoftext|>A physician forgives a physician. The doctor was forgotten by the doctor.,<|endoftext|>A physician is forgiven by a physician. The doctor was forgotten by the doctor.,1,8,9
<|endoftext|>A doctor catches a doctor. The physician grabbed the physician.,<|endoftext|>A doctor is caught by a doctor. The physician grabbed the physician.,<|endoftext|>A doctor catches a doctor. The physician was grabbed by the physician.,<|endoftext|>A doctor is caught by a doctor. The physician was grabbed by the physician.,1,7,9
<|endoftext|>A physician caught a physician. The doctor grabs the doctor.,<|endoftext|>A physician was caught by a physician. The doctor grabs the doctor.,<|endoftext|>A physician caught a physician. The doctor is grabbed by the doctor.,<|endoftext|>A physician was caught by a physician. The doctor is grabbed by the doctor.,1,7,9
<|endoftext|>The doctor hurts the doctor. A physician beat a physician.,<|endoftext|>The doctor is hurt by the doctor. A physician beat a physician.,<|endoftext|>The doctor hurts the doctor. A physician was beaten by a physician.,<|endoftext|>The doctor is hurt by the doctor. A physician was beaten by a physician.,1,7,9
<|endoftext|>A physician hurt a physician. The doctor beats the doctor.,<|endoftext|>A physician was hurt by a physician. The doctor beats the doctor.,<|endoftext|>A physician hurt a physician. The doctor is beaten by the doctor.,<|endoftext|>A physician was hurt by a physician. The doctor is beaten by the doctor.,1,7,9
<|endoftext|>A doctor helped a doctor. The physician comforts the physician.,<|endoftext|>A doctor was helped by a doctor. The physician comforts the physician.,<|endoftext|>A doctor helped a doctor. The physician is comforted by the physician.,<|endoftext|>A doctor was helped by a doctor. The physician is comforted by the physician.,1,7,9
<|endoftext|>The physician helped the physician. A doctor comforts a doctor.,<|endoftext|>The physician was helped by the physician. A doctor comforts a doctor.,<|endoftext|>The physician helped the physician. A doctor is comforted by a doctor.,<|endoftext|>The physician was helped by the physician. A doctor is comforted by a doctor.,1,7,9
<|endoftext|>The doctor helped the singer. A physician comforts a band.,<|endoftext|>The singer was helped by the doctor. A physician comforts a band.,<|endoftext|>The doctor helped the singer. A band is comforted by a physician.,<|endoftext|>The singer was helped by the doctor. A band is comforted by a physician.,1,7,9
<|endoftext|>A doctor helps a colonel. The physician comforted the army.,<|endoftext|>A colonel is helped by a doctor. The physician comforted the army.,<|endoftext|>A doctor helps a colonel. The army was comforted by the physician.,<|endoftext|>A colonel is helped by a doctor. The army was comforted by the physician.,1,7,9
<|endoftext|>The physician helps the singer. A doctor comforted a band.,<|endoftext|>The singer is helped by the physician. A doctor comforted a band.,<|endoftext|>The physician helps the singer. A band was comforted by a doctor.,<|endoftext|>The singer is helped by the physician. A band was comforted by a doctor.,1,7,9
<|endoftext|>The physician helps the colonel. A doctor comforted an army.,<|endoftext|>The colonel is helped by the physician. A doctor comforted an army.,<|endoftext|>The physician helps the colonel. An army was comforted by a doctor.,<|endoftext|>The colonel is helped by the physician. An army was comforted by a doctor.,1,7,9
<|endoftext|>The doctor asked the doctor. A physician helps a physician.,<|endoftext|>The doctor was asked by the doctor. A physician helps a physician.,<|endoftext|>The doctor asked the doctor. A physician is helped by a physician.,<|endoftext|>The doctor was asked by the doctor. A physician is helped by a physician.,1,7,9
<|endoftext|>A physician asks a physician. The doctor helped the doctor.,<|endoftext|>A physician is asked by a physician. The doctor helped the doctor.,<|endoftext|>A physician asks a physician. The doctor was helped by the doctor.,<|endoftext|>A physician is asked by a physician. The doctor was helped by the doctor.,1,7,9
<|endoftext|>The singer asks the doctor. A band helped a physician.,<|endoftext|>The doctor is asked by the singer. A band helped a physician.,<|endoftext|>The singer asks the doctor. A physician was helped by a band.,<|endoftext|>The doctor is asked by the singer. A physician was helped by a band.,1,7,9
<|endoftext|>A singer asks a physician. The band helped the doctor.,<|endoftext|>A physician is asked by a singer. The band helped the doctor.,<|endoftext|>A singer asks a physician. The doctor was helped by the band.,<|endoftext|>A physician is asked by a singer. The doctor was helped by the band.,1,7,9
<|endoftext|>The colonel asked the doctor. An army helps a physician.,<|endoftext|>The doctor was asked by the colonel. An army helps a physician.,<|endoftext|>The colonel asked the doctor. A physician is helped by an army.,<|endoftext|>The doctor was asked by the colonel. A physician is helped by an army.,1,7,9
<|endoftext|>A colonel asked a physician. The army helps the doctor.,<|endoftext|>A physician was asked by a colonel. The army helps the doctor.,<|endoftext|>A colonel asked a physician. The doctor is helped by the army.,<|endoftext|>A physician was asked by a colonel. The doctor is helped by the army.,1,7,9
<|endoftext|>A doctor comforts a doctor. The physician helped the physician.,<|endoftext|>A doctor is comforted by a doctor. The physician helped the physician.,<|endoftext|>A doctor comforts a doctor. The physician was helped by the physician.,<|endoftext|>A doctor is comforted by a doctor. The physician was helped by the physician.,1,8,10
<|endoftext|>The physician comforts the physician. A doctor helped a doctor.,<|endoftext|>The physician is comforted by the physician. A doctor helped a doctor.,<|endoftext|>The physician comforts the physician. A doctor was helped by a doctor.,<|endoftext|>The physician is comforted by the physician. A doctor was helped by a doctor.,1,8,10
<|endoftext|>The singer comforted the doctor. A band helps a physician.,<|endoftext|>The doctor was comforted by the singer. A band helps a physician.,<|endoftext|>The singer comforted the doctor. A physician is helped by a band.,<|endoftext|>The doctor was comforted by the singer. A physician is helped by a band.,1,8,10
<|endoftext|>A singer comforted a physician. The band helps the doctor.,<|endoftext|>A physician was comforted by a singer. The band helps the doctor.,<|endoftext|>A singer comforted a physician. The doctor is helped by the band.,<|endoftext|>A physician was comforted by a singer. The doctor is helped by the band.,1,8,10
<|endoftext|>The colonel comforted the doctor. An army helps a physician.,<|endoftext|>The doctor was comforted by the colonel. An army helps a physician.,<|endoftext|>The colonel comforted the doctor. A physician is helped by an army.,<|endoftext|>The doctor was comforted by the colonel. A physician is helped by an army.,1,8,10
<|endoftext|>The colonel comforted the physician. An army helps a doctor.,<|endoftext|>The physician was comforted by the colonel. An army helps a doctor.,<|endoftext|>The colonel comforted the physician. A doctor is helped by an army.,<|endoftext|>The physician was comforted by the colonel. A doctor is helped by an army.,1,8,10
<|endoftext|>The doctor hurts the doctor. A physician killed a physician.,<|endoftext|>The doctor is hurt by the doctor. A physician killed a physician.,<|endoftext|>The doctor hurts the doctor. A physician was killed by a physician.,<|endoftext|>The doctor is hurt by the doctor. A physician was killed by a physician.,1,7,9
<|endoftext|>The physician hurt the physician. A doctor kills a doctor.,<|endoftext|>The physician was hurt by the physician. A doctor kills a doctor.,<|endoftext|>The physician hurt the physician. A doctor is killed by a doctor.,<|endoftext|>The physician was hurt by the physician. A doctor is killed by a doctor.,1,7,9
<|endoftext|>A doctor destroys a doctor. The physician killed the physician.,<|endoftext|>A doctor is destroyed by a doctor. The physician killed the physician.,<|endoftext|>A doctor destroys a doctor. The physician was killed by the physician.,<|endoftext|>A doctor is destroyed by a doctor. The physician was killed by the physician.,1,7,9
<|endoftext|>The physician destroyed the physician. A doctor kills a doctor.,<|endoftext|>The physician was destroyed by the physician. A doctor kills a doctor.,<|endoftext|>The physician destroyed the physician. A doctor is killed by a doctor.,<|endoftext|>The physician was destroyed by the physician. A doctor is killed by a doctor.,1,7,9
<|endoftext|>The doctor forgives the doctor. A physician understood a physician.,<|endoftext|>The doctor is forgiven by the doctor. A physician understood a physician.,<|endoftext|>The doctor forgives the doctor. A physician was understood by a physician.,<|endoftext|>The doctor is forgiven by the doctor. A physician was understood by a physician.,1,8,9
<|endoftext|>The physician forgives the physician. A doctor understood a doctor.,<|endoftext|>The physician is forgiven by the physician. A doctor understood a doctor.,<|endoftext|>The physician forgives the physician. A doctor was understood by a doctor.,<|endoftext|>The physician is forgiven by the physician. A doctor was understood by a doctor.,1,8,9